Feature,Mean_XGB_Importance,SD_XGB_Importance,Mean_SHAP,SD_SHAP
Solv_fr_term_acetylene,0.0,0.0,0.0,0.0
Solv_fr_Ndealkylation1,0.0,0.0,0.0,0.0
Solv_fr_bicyclic,0.0,0.0,0.0,0.0
Solv_fr_benzodiazepine,0.0,0.0,0.0,0.0
Solv_fr_barbitur,0.0,0.0,0.0,0.0
Solv_fr_azo,0.0,0.0,0.0,0.0
Solv_fr_azide,0.0,0.0,0.0,0.0
Solv_fr_aniline,0.0,0.0,0.0,0.0
Solv_fr_amidine,0.0,0.0,0.0,0.0
Solv_fr_allylic_oxid,0.0,0.0,0.0,0.0
Solv_fr_alkyl_carbamate,0.0,0.0,0.0,0.0
Solv_fr_aldehyde,0.0,0.0,0.0,0.0
Solv_fr_SH,0.0,0.0,0.0,0.0
Solv_fr_Nhpyrrole,0.0,0.0,0.0,0.0
Solv_fr_sulfonamd,0.0,0.0,0.0,0.0
Solv_fr_guanido,0.0,0.0,0.0,0.0
Solv_fr_epoxide,0.0,0.0,0.0,0.0
Solv_fr_phos_ester,0.0,0.0,0.0,0.0
Solv_fr_nitro_arom,0.0,0.0,0.0,0.0
Solv_fr_nitro_arom_nonortho,0.0,0.0,0.0,0.0
Solv_fr_nitroso,0.0,0.0,0.0,0.0
Solv_fr_oxazole,0.0,0.0,0.0,0.0
Solv_fr_morpholine,0.0,0.0,0.0,0.0
Solv_fr_oxime,0.0,0.0,0.0,0.0
Solv_fr_methoxy,0.0,0.0,0.0,0.0
Solv_fr_lactone,0.0,0.0,0.0,0.0
Solv_fr_lactam,0.0,0.0,0.0,0.0
Solv_fr_isothiocyan,0.0,0.0,0.0,0.0
Solv_fr_phos_acid,0.0,0.0,0.0,0.0
Solv_fr_piperdine,0.0,0.0,0.0,0.0
Solv_fr_furan,0.0,0.0,0.0,0.0
Solv_fr_piperzine,0.0,0.0,0.0,0.0
Solv_fr_priamide,0.0,0.0,0.0,0.0
Solv_fr_prisulfonamd,0.0,0.0,0.0,0.0
Solv_fr_isocyan,0.0,0.0,0.0,0.0
Solv_fr_quatN,0.0,0.0,0.0,0.0
