Feature,Mean_RF_Importance,SD_RF_Importance,Mean_SHAP,SD_SHAP
Chrom_BalabanJ,0.05177027451605558,0.001607873372083616,0.060699153156119325,0.0027807867582734114
Chrom_BCUT2D_CHGLO,0.05988926677557218,0.004046573314630437,0.049750931258653,0.003669258300595146
Chrom_MolWt,0.04257719888401687,0.0013182606296683235,0.0413788733552232,0.00287528183950084
Chrom_PEOE_VSA8,0.02731566726468444,0.0016687009950761673,0.029241040224942026,0.002876411136174154
Chrom_MaxPartialCharge,0.024960941764740445,0.0013112814443445098,0.029155805348399698,0.002066355707862247
Chrom_VSA_EState7,0.02047750189577976,0.0010445397153520575,0.025687776636306676,0.0013746137920996266
Chrom_MinEStateIndex,0.0316474481967099,0.001761193231480773,0.02532918862228829,0.0017442578821216558
Chrom_fr_azo,0.06791324429297177,0.0028369259474720003,0.02251614201836532,0.0028126444372893757
Chrom_BCUT2D_CHGHI,0.029760222752968662,0.0023107447211818933,0.021925523434902738,0.0021107867603102166
Chrom_fr_allylic_oxid,0.013155321509683487,0.0005376381283618572,0.015362799859767415,0.0014795014514750757
Chrom_SMR_VSA4,0.050648908639620384,0.0042877110208701455,0.013840923479490595,0.0014388707304080594
Chrom_BCUT2D_MWLOW,0.0277495092634704,0.001930564363112815,0.0118917399173949,0.0009379284760375928
Chrom_qed,0.01542841912389594,0.000988317891231073,0.011735202059887784,0.0010881334743401735
Chrom_PEOE_VSA1,0.011689772779388336,0.0008376859236872172,0.011454522999532047,0.000816624832009948
Chrom_SMR_VSA3,0.008913763066116591,0.0003614776346660468,0.010928997233780555,0.0008864088620509098
Chrom_fr_NH0,0.008045933316360682,0.0006936872687141742,0.009926229350157557,0.0012161887005797624
Chrom_SlogP_VSA8,0.01785148741159132,0.000910163144364758,0.009333695445801354,0.0005638399571148803
Chrom_SMR_VSA6,0.011479478356459877,0.0008064693095192817,0.00859895484275089,0.0005933529463198418
Chrom_MaxEStateIndex,0.015534380379494686,0.0008450164629800615,0.008133689167068029,0.0006702087275354679
Chrom_EState_VSA8,0.007906928101739642,0.00043519402538778743,0.007478343815481711,0.0008606606151242954
Chrom_VSA_EState4,0.010477522603620027,0.0005781224868080275,0.006908664632579949,0.0006523663696630872
Chrom_PEOE_VSA10,0.006177110287139621,0.0003347615053950776,0.0068351935859762136,0.0006116330171076231
Chrom_SlogP_VSA1,0.00842101528792515,0.00030739224011806115,0.006254009092942145,0.0003420544830976554
Chrom_NumAliphaticHeterocycles,0.004965269060066167,0.0006889575449718314,0.00576173813981976,0.0009331255350702399
Chrom_fr_pyridine,0.007563942145363581,0.0009787282113550531,0.005649634973706498,0.00023030181672730393
Chrom_fr_hdrzone,0.00626157475886558,0.0005109458225727566,0.0053128459795411375,0.001025523248878597
Chrom_BCUT2D_MRLOW,0.012673762086171731,0.00020096637782634233,0.0052350760371668355,0.0003550095919307257
Chrom_BCUT2D_LOGPHI,0.012692334995048554,0.0006971356912663116,0.005192509448778715,0.00027638127089050363
Solv_BCUT2D_MRHI,0.005281103611373482,0.00044448850820407804,0.005157250882617757,0.0006507414803983551
Chrom_VSA_EState8,0.00596720902144934,0.00030488504379949514,0.004929988855478684,0.0005020105665892305
