Feature,Mean_RF_Importance,SD_RF_Importance,Mean_SHAP,SD_SHAP
Chrom_NumAliphaticHeterocycles,0.15256216418072283,0.00601018572041074,19.61211014827891,0.6282285239845908
Chrom_SMR_VSA10,0.044805491157744556,0.0019400752609079856,11.088090794525293,0.4637487309808832
Chrom_PEOE_VSA8,0.04785534883917484,0.0009638850180568419,9.908515128494397,0.427144221959118
Chrom_MaxPartialCharge,0.06119936963464949,0.004602292159040745,8.036020174657573,0.8771668310316858
Chrom_fr_allylic_oxid,0.04496941067853742,0.0014949968715651037,7.055403584724772,0.5942763583641364
Chrom_MaxEStateIndex,0.05403264399531549,0.003944227392520298,5.284315458370327,0.32655382062895333
Chrom_EState_VSA11,0.05069251167870366,0.005751537019374555,5.190288719026443,0.7961443670543743
Chrom_qed,0.024386786603680755,0.001245280787698621,4.528454900066567,0.2791598562564764
Chrom_MolWt,0.026500962039161503,0.0010640541080140318,3.8164836393957855,0.17067748138309907
Chrom_BCUT2D_MRLOW,0.03683828265516844,0.002053637963096673,3.5271479607489935,0.23252700608787527
Chrom_BCUT2D_CHGHI,0.035497619505545516,0.004007508693345132,3.3362598487116486,0.4872182221303098
Chrom_BCUT2D_LOGPHI,0.02641491151075423,0.0015192502131868935,3.2080896740434097,0.19446234525831071
Chrom_PEOE_VSA10,0.013937142216670792,0.0008408959281023972,2.4851091619438153,0.1809573536736415
Chrom_SlogP_VSA10,0.008692401059612621,0.0006357398034891001,2.212097980140471,0.164615826303192
Chrom_SlogP_VSA8,0.01265148833521967,0.0005687339478246787,2.2035896496587704,0.18351665662539893
Chrom_PEOE_VSA1,0.016943399245590806,0.001182106975595655,2.007538796105298,0.18467253618208515
Chrom_SlogP_VSA1,0.009845278160411548,0.0002755097285838099,1.972570252787587,0.0877532912706304
Chrom_SMR_VSA6,0.007930582775776143,0.00021575253570493974,1.919226383145519,0.07726291510294421
Chrom_MinEStateIndex,0.01682547674873227,0.0021579145806100257,1.8939031851339752,0.2152034634844798
Chrom_BCUT2D_MWLOW,0.015380095068806674,0.0011147098625575813,1.8849463168557725,0.19089657335150267
Chrom_EState_VSA4,0.00941930027434809,0.00037006888315061463,1.8464226988569188,0.14304188907530233
Chrom_VSA_EState8,0.010163163139422431,0.0006454873132853186,1.8312945328904544,0.06146967764364477
Chrom_fr_NH0,0.007488988488936961,0.0007252625901733459,1.808443306692282,0.1689709778027599
Chrom_fr_bicyclic,0.009446540120311927,0.0006056607399367699,1.4745379511755452,0.12847751501844906
Chrom_PEOE_VSA14,0.01009814874373845,0.001478893914605617,1.3300308188454542,0.2045638864946724
Chrom_SMR_VSA3,0.008816597114399034,0.0004393058954670041,1.2088152845482862,0.06645377347585404
Chrom_VSA_EState7,0.007857258998764369,0.0004024055580628669,1.1957977321798023,0.08090415586017691
Chrom_PEOE_VSA11,0.0059854498025421286,0.0004577174502923505,1.1694701062751036,0.0743198261598811
Chrom_MinPartialCharge,0.011016128091982299,0.0004885207097756479,1.1316274768863843,0.07283458252679333
Chrom_VSA_EState4,0.0077566660323485056,0.0003423507439720824,1.0499779153043722,0.07276018127484442
Chrom_VSA_EState3,0.006377337605092197,0.00025422851805214546,1.0089356662318814,0.0607392505501171
Chrom_BCUT2D_CHGLO,0.011522810009518611,0.00042643447536072415,0.9982786258318723,0.0770678853850645
Chrom_PEOE_VSA12,0.0070654000738626,0.0004055604601626425,0.9396747348231023,0.0706725836352352
Chrom_BalabanJ,0.009183570379294573,0.0006951105971277464,0.8070571359758809,0.10689418799360441
Chrom_SlogP_VSA4,0.003565825570637689,0.00014411981884846856,0.7981196050173314,0.05314561457199305
Chrom_fr_aniline,0.0039797152598349044,0.00023083577527350567,0.7777374219734392,0.06696809137109482
Chrom_EState_VSA3,0.004824401322391242,0.00034513194692482565,0.6981065097230253,0.07214609327188272
Chrom_VSA_EState5,0.007016739705618387,0.0005638973301591788,0.6462545714874699,0.060466752838270674
Chrom_TPSA,0.006494289416481688,0.0002590729402178216,0.628538828982268,0.0548569037425224
Chrom_PEOE_VSA2,0.003781794424804361,0.00024205982531163396,0.6283179293651376,0.059186367991241516
Chrom_NumAromaticHeterocycles,0.004860027205283835,0.0004206017277005709,0.5415298887510737,0.05928601989722402
Chrom_NumAliphaticCarbocycles,0.002614821594006378,0.0001807614248108676,0.5158745835322899,0.04502464854925858
Chrom_VSA_EState9,0.006568558832552807,0.00033230622407121415,0.5081112131724046,0.04271084209193468
Chrom_VSA_EState2,0.005585220022546574,0.0001997253954522205,0.5067780306604478,0.03442167908932872
Chrom_PEOE_VSA4,0.0024753161738598727,0.00020163576184277,0.47805634632930205,0.035950931343104675
Chrom_SlogP_VSA2,0.005153448279719497,0.00016237784059145404,0.4706900108732478,0.02932567221487934
Chrom_PEOE_VSA9,0.00459137359997965,0.00017357617349629214,0.44817337398997975,0.03102799690430806
Chrom_FpDensityMorgan1,0.006194140316568669,0.00026415376482229224,0.42675265135856416,0.05043289745140077
Chrom_EState_VSA8,0.004144361213796567,0.00010193286375869544,0.4247629283946672,0.027775821963355225
Chrom_MinAbsEStateIndex,0.0052334811094057535,0.00011995464137612967,0.41780478282639144,0.02463550114310697
Chrom_SMR_VSA5,0.0036562971469414713,0.00024701030485494026,0.36981282080788286,0.027886630894379965
Chrom_EState_VSA7,0.0030607554962363776,7.715575117184119e-05,0.35613438376865103,0.028590362743882988
Chrom_SMR_VSA4,0.001723397537709496,0.0001090599209031716,0.3557564356729279,0.027740503167454154
Chrom_FractionCSP3,0.004177756952432098,0.00016781265529588362,0.33133253544180735,0.015267299367760948
Chrom_SMR_VSA2,0.0011128071676087601,0.00010418466016259126,0.3272245283059258,0.034115947948901375
Chrom_BCUT2D_MWHI,0.005023951076341655,0.0001837051457477849,0.32659531989860363,0.02525076327144872
Chrom_fr_Ar_NH,0.0023784355722864885,0.00014595237030760752,0.2930585873698467,0.02814063017377465
Chrom_PEOE_VSA5,0.0016402866766001458,7.113935731133819e-05,0.28269899799572673,0.029199239054134126
Chrom_SMR_VSA9,0.0038020278803316114,0.0001437612383195706,0.27336167575050274,0.02247464387123712
Chrom_EState_VSA5,0.0031881117765286174,5.910520593844262e-05,0.273256108961771,0.014464729533501884
Chrom_PEOE_VSA3,0.0029439324792984796,0.0001552443338263991,0.2725239631389048,0.02798148967036572
Chrom_fr_Ar_COO,0.003120628802123507,0.00044907232107605947,0.2700916676699015,0.052085920522930915
Chrom_SlogP_VSA3,0.0034545226707227645,0.00010714918461654006,0.25268717654162154,0.011070698729368746
Chrom_EState_VSA1,0.0024690616829419363,0.00021953585099411502,0.24694661589482444,0.023450777681442114
Chrom_SMR_VSA1,0.002792245997252067,0.00012208240594301626,0.2404119827344128,0.02187665276084263
Chrom_PEOE_VSA13,0.0019713445749397485,0.00014240227008112575,0.2384849730365887,0.032521376079559516
Chrom_EState_VSA9,0.002295543669417907,9.206181736708057e-05,0.2209818988626183,0.023683683772092238
Chrom_fr_azo,0.0009915674802863175,6.999486356567607e-05,0.21812024440096267,0.020941394926610627
Chrom_fr_ketone,0.000864820886148103,9.263789427332435e-05,0.20855590795079332,0.027044402253951036
Chrom_EState_VSA10,0.002333943383339203,0.00010596170132160498,0.1921300300149294,0.011629813961554979
Chrom_fr_COO,0.0017673703173583723,0.00038682044666786444,0.1820702564777788,0.03449330256464049
Chrom_EState_VSA6,0.0023169312111471527,7.378339830331945e-05,0.17689229145007493,0.0179783041345395
Chrom_fr_Imine,0.000814492507536331,0.00010618707046827396,0.14435634579944645,0.019602367343909015
Chrom_fr_imidazole,0.0005351064996220638,5.114706319727406e-05,0.14260896154134112,0.017793166705989995
Chrom_VSA_EState10,0.0015633528107902282,0.00012582051976982984,0.14125066582076326,0.020730503436018427
Chrom_EState_VSA2,0.00210366069854542,7.885908942921486e-05,0.13998236791722934,0.005696050538281495
Solv_Kappa3,0.0007510501634500077,5.3583043398392036e-05,0.11537741224138406,0.017181029688423347
Chrom_fr_NH1,0.0013153062624512886,7.653969112885493e-05,0.11173771266013625,0.010738723764451308
Chrom_fr_amidine,0.0007445706197177884,0.00016801258172886917,0.11147390063176024,0.02210563008069038
Chrom_fr_para_hydroxylation,0.0008697938292693528,5.973271960996453e-05,0.10980887255490926,0.015045463934964335
Chrom_SlogP_VSA11,0.0010050126163624181,5.269677162396502e-05,0.10926491430910339,0.012660474163106335
Chrom_fr_amide,0.0007871104313067707,4.778409902824184e-05,0.10515895273452716,0.012914536241633594
Chrom_SlogP_VSA12,0.001404506879513994,6.942171359423082e-05,0.0991121910551552,0.009353903161026605
Solv_BCUT2D_MRHI,0.0006939655832692755,6.7326825534717e-05,0.09032776860446831,0.00707983844362035
Solv_MinEStateIndex,0.0005492164337675819,5.0916833158730976e-05,0.08797507310691151,0.013823606308901632
Chrom_NHOHCount,0.0013911023914389426,9.920146913923691e-05,0.08191228232830962,0.009837424356784363
Solv_MolWt,0.0005576071508590537,3.945075276026629e-05,0.07977209152849177,0.009844357363677825
Solv_BCUT2D_MWHI,0.0005042940725438501,3.753594599765398e-05,0.06630149335692948,0.0036070641755141008
Solv_qed,0.000607892116549963,4.219162925072428e-05,0.06594386114095184,0.007229042764389778
Solv_BalabanJ,0.0005080818730498123,2.8177086598913073e-05,0.06408292989434455,0.0069009951531296574
Chrom_fr_ester,0.00048157288970647444,4.901065428047303e-05,0.06307701730926474,0.0063470496123963155
Chrom_fr_methoxy,0.000976365810285814,8.717725009265748e-05,0.0628431552145385,0.010581131160499952
Chrom_fr_pyridine,0.0006270741764837998,9.631046738622651e-05,0.062029770809603146,0.007422668363253025
Chrom_fr_aryl_methyl,0.0008536535200453407,4.282306001916549e-05,0.0598641238354785,0.009252392743420473
Solv_BCUT2D_MWLOW,0.0006001440899660822,3.805221216918546e-05,0.05911129282952732,0.004532188099608281
Chrom_SlogP_VSA7,0.0008872978826570432,6.787392794157213e-05,0.05872656346757447,0.010885799176505038
Solv_BertzCT,0.0005345165288089657,3.71747244037141e-05,0.05808993965228755,0.005439849783997688
Solv_MinAbsEStateIndex,0.0004466613556709114,2.3037242330069107e-05,0.05789016382502234,0.006683997488297948
Solv_TPSA,0.0003750314487401613,4.945898681370512e-05,0.0522629103796053,0.004743768778092851
Solv_BCUT2D_CHGHI,0.0005554586974546806,3.734533245713023e-05,0.05147907980988513,0.0032814091609469536
Chrom_fr_sulfide,0.00041790267429998266,4.171751352638105e-05,0.04958679113792406,0.006855735322272684
Solv_MinPartialCharge,0.00040993018620552027,3.0234742561937035e-05,0.04800326457230282,0.004649447617978426
Solv_MaxPartialCharge,0.0004812344573037466,3.2783163346202945e-05,0.04785220365905064,0.004825378781074964
Solv_MaxEStateIndex,0.00046645809294301933,5.0597124139540366e-05,0.04724152408596131,0.0036787812296795483
Solv_Kappa2,0.0005061315288745896,4.2112812903346077e-05,0.0461829347029006,0.004879228096583771
Solv_BCUT2D_MRLOW,0.0005066881539483621,3.0715757485893475e-05,0.046078735971363194,0.0023117769440232235
Chrom_fr_nitro,0.0002871126965429527,5.114401292517235e-05,0.04560815021526024,0.006201084636666293
Solv_SMR_VSA5,0.0003103035099377118,3.205575801496087e-05,0.04531471373916839,0.003986683413103913
Solv_Ipc,0.00038981460289137896,3.2398176868548985e-05,0.041938884522196344,0.003444259990570719
Solv_EState_VSA1,0.00018452985241970858,2.2297837777633766e-05,0.03909901211776119,0.0051923819366676794
Solv_EState_VSA6,0.00025139112798993257,3.512924399384391e-05,0.038280467291354245,0.006224004012401323
Solv_VSA_EState1,0.0002902580765451581,3.372296011925914e-05,0.03785492612561088,0.0055468280777346635
Solv_PEOE_VSA8,0.00026973050530153464,2.270157478944958e-05,0.036931105595847905,0.0018337851512283381
Solv_VSA_EState8,0.00026317354959317155,1.5011375898025176e-05,0.03683329094781078,0.002678697615554605
Solv_MinAbsPartialCharge,0.0003867927018116608,2.214838952773641e-05,0.03641041249867035,0.003501949935164299
Chrom_fr_oxazole,0.00015773370109239198,2.6052763346888138e-05,0.0359913253413556,0.006628291417999032
Solv_FpDensityMorgan1,0.00023557744758410872,2.7099820726059145e-05,0.03479963558893592,0.0018612957016491231
Chrom_fr_thiazole,0.0003095869042133995,5.049421667528398e-05,0.031557479074429615,0.008309827461286085
Chrom_NumSaturatedHeterocycles,0.00044851001187112436,6.035053146057905e-05,0.031417272850544936,0.00503392466465797
Solv_SMR_VSA6,0.00025671911900899453,1.7787807183042114e-05,0.029214148745004075,0.0024914486204247618
Solv_PEOE_VSA6,0.0001977213152867515,1.6790671718083774e-05,0.028659044905854258,0.003205986666047115
