Feature,Mean_LGBM_Importance,SD_LGBM_Importance,Mean_SHAP,SD_SHAP
Chrom_BalabanJ,292.4,21.062763351469343,0.06980677062443101,0.009731296259126995
Chrom_BCUT2D_CHGLO,230.1,14.20176045425355,0.05966633388420569,0.012324586510325268
Chrom_PEOE_VSA8,239.1,21.3,0.04748532636625908,0.005690248232309382
Chrom_MinEStateIndex,147.9,16.36734553921313,0.04580183543191886,0.009423598829030879
Chrom_MolWt,230.2,17.388501948126525,0.04549928380057607,0.008413937350046264
Chrom_MaxPartialCharge,128.3,13.084723917607127,0.04469085763302098,0.0087099389319588
Chrom_SMR_VSA3,76.5,9.604686356149273,0.03355593261271439,0.005014244320503162
Chrom_VSA_EState7,143.4,15.576905982896605,0.0335020723019138,0.0049010952230551215
Chrom_fr_azo,3.5,1.2041594578792296,0.032195524247998125,0.006997726771276932
Chrom_SlogP_VSA8,196.4,15.91979899370592,0.03208937989750588,0.00461409192093382
Chrom_BCUT2D_CHGHI,238.6,15.538339679644027,0.03194351463064507,0.008733382523404868
Chrom_SMR_VSA6,52.6,6.102458520956943,0.026246061421730443,0.002116319314280048
Chrom_fr_allylic_oxid,38.0,5.9833101206606365,0.023691222082284535,0.0038841668175128696
Chrom_fr_NH0,28.8,5.418486873657627,0.02341217609849143,0.0041423613651966834
Chrom_BCUT2D_MWHI,155.8,11.320777358467925,0.02201639712808926,0.0035073677245631187
Chrom_BCUT2D_MWLOW,215.8,12.568213874691981,0.02075234248735764,0.004495641296599596
Chrom_EState_VSA8,161.9,14.522052196573322,0.02030817003196309,0.0033863093423484466
Chrom_fr_para_hydroxylation,40.9,5.717516943569122,0.019097243414751434,0.004134716031224937
Chrom_BCUT2D_LOGPHI,251.9,18.381784461798045,0.01848453738900819,0.001790377315680699
Chrom_SMR_VSA9,111.5,8.58195781858662,0.018024292063284365,0.002409147944684702
Chrom_fr_pyridine,17.0,5.5677643628300215,0.017404430512691322,0.003868118658606929
Chrom_VSA_EState8,128.7,17.13505179449423,0.017253358762302266,0.0014185775730131956
Chrom_BCUT2D_MRLOW,177.2,19.348384945519353,0.01683198322290049,0.0027262058858900325
Chrom_MinAbsEStateIndex,264.2,26.712543869875066,0.016645335825576032,0.0030926845183266373
Chrom_PEOE_VSA10,103.1,8.104936767180853,0.0164917688821973,0.003279953061923504
Chrom_SMR_VSA10,194.9,12.070211265756702,0.01604304447919715,0.002019859371221956
Chrom_SlogP_VSA1,91.1,8.5258430668175,0.01581740312573097,0.0023779449906039967
Chrom_VSA_EState2,113.5,11.876447280226525,0.015073405079850407,0.004193701816659511
Chrom_FpDensityMorgan1,246.9,18.843831882077488,0.014601480329849406,0.0012623197117865618
Chrom_SlogP_VSA11,22.9,4.182104733265297,0.014505042211791903,0.004472720393327664
Chrom_MaxEStateIndex,193.5,19.01709757034443,0.014495008447074206,0.002227494520690247
Chrom_qed,211.6,13.92264342716569,0.01446867223526686,0.0013334168195478294
Chrom_VSA_EState3,154.7,13.806158046321213,0.013271264538700051,0.0026333364516936816
Chrom_SlogP_VSA2,123.5,12.459935794377111,0.013241324850508242,0.0023198125030213204
Chrom_PEOE_VSA12,57.0,7.681145747868608,0.013194787229381055,0.002626938105357325
Chrom_EState_VSA3,104.7,9.778036612735708,0.013108060491931112,0.0018941810042115792
Chrom_fr_bicyclic,79.8,13.898201322473351,0.012760029853597019,0.0027000212367810496
Chrom_EState_VSA2,67.4,9.93176721434811,0.012501735468854797,0.0012087275004328056
Chrom_VSA_EState4,213.6,20.87199080107118,0.012434592878994687,0.0027955530755874964
Chrom_FractionCSP3,130.7,8.295179322956198,0.012349091412906335,0.0016474317203364127
Chrom_MinPartialCharge,184.2,16.442627527253663,0.01229282199907403,0.0021295908831354448
Chrom_PEOE_VSA9,158.7,19.375499993548555,0.012101458784429657,0.0017719475454340374
Chrom_VSA_EState5,151.7,4.382921400162226,0.011809787056686049,0.0026946410112642645
Chrom_EState_VSA6,115.6,11.976643937263894,0.011338900539588071,0.0037245322162625483
Chrom_EState_VSA4,181.6,13.690872872099865,0.010900456634378037,0.001263842864850886
Chrom_VSA_EState10,83.5,15.259423318068084,0.010867955188514506,0.0019801013612176085
Chrom_EState_VSA7,205.8,12.631706139710502,0.010716441784803684,0.0011571447853271847
Chrom_fr_hdrzone,14.1,5.906775770248943,0.010433649005134726,0.0023351941947625443
Chrom_EState_VSA5,153.2,9.282241108697834,0.01039107822623875,0.0018297995154412992
Chrom_PEOE_VSA4,22.6,4.17612260356422,0.009996471058977668,0.004675592315335984
Chrom_PEOE_VSA11,45.7,6.812488532100439,0.00996194661690374,0.0017975150971232313
Chrom_SlogP_VSA3,61.0,8.87693640846886,0.009845534574537334,0.002010675554252655
Chrom_TPSA,98.8,9.81631295344642,0.009285406908522673,0.002564966939132493
Solv_MolWt,76.0,9.518403227432634,0.009036882329795581,0.002828249683969562
Solv_BCUT2D_MRHI,70.0,8.221921916437786,0.008544760817352792,0.0029058711313695714
Chrom_VSA_EState9,91.8,9.66229786334493,0.00846649912958595,0.003158800111777719
Chrom_PEOE_VSA2,35.4,3.8781438859330635,0.008348740941719182,0.001485197026608532
Solv_MinAbsEStateIndex,54.7,9.706183596038146,0.008312189742778496,0.002198112844376202
Chrom_SlogP_VSA12,21.4,5.71314274283428,0.008294030060956982,0.004912321092374571
Chrom_PEOE_VSA1,63.9,8.104936767180853,0.00818049940846637,0.002495643189324978
Chrom_PEOE_VSA3,39.6,6.019966777316965,0.007826417577680362,0.0023934802869620114
Chrom_fr_imidazole,17.2,4.621688003316537,0.00776985677605019,0.001955526560802274
Chrom_fr_ketone,8.9,2.071231517720798,0.007481201581487146,0.002470512900735366
Chrom_SMR_VSA4,15.2,2.785677655436824,0.007328060665795805,0.0038994217435650764
Chrom_SlogP_VSA10,36.6,5.624944444170094,0.007043279382503822,0.0024014629004741354
Chrom_SMR_VSA1,44.4,11.884443613396463,0.006983603511700222,0.0026791052973769982
Chrom_EState_VSA9,72.4,4.152107898405339,0.006872402130094124,0.0013312573275053828
Solv_MinAbsPartialCharge,118.8,14.027116596079182,0.006864255794361808,0.0017489909360529866
Solv_Kappa2,100.0,9.909591313469996,0.00621398904961653,0.0018480274881903722
Chrom_SlogP_VSA4,57.2,10.916043239196151,0.006124701811387694,0.0010043876691987943
Solv_qed,85.7,12.313001258832063,0.005725353477761102,0.0018306787565062254
Chrom_SMR_VSA5,60.7,8.579627031520658,0.0055728326667093386,0.001136472503998055
Chrom_fr_thiazole,12.1,3.753664875824692,0.0053417586346236196,0.0021617747300150714
Chrom_EState_VSA1,20.5,5.333854141237834,0.005258395855501023,0.0029799556668149846
Chrom_PEOE_VSA5,25.1,4.657252408878008,0.005165854186900531,0.0026335248462830935
Solv_Kappa3,71.4,6.374950980203691,0.005138124358407919,0.0020651569710317622
Chrom_fr_aryl_methyl,37.7,6.309516621738943,0.004931590321833941,0.0012856071101706567
Chrom_NumAromaticHeterocycles,22.0,4.266145801540309,0.004903096191919189,0.0015999556622575358
