Feature,Mean_LGBM_Importance,SD_LGBM_Importance,Mean_SHAP,SD_SHAP
Chrom_NumAliphaticHeterocycles,24.3,2.238302928559939,31.763774722740898,2.6473298264523706
Chrom_SMR_VSA10,248.0,23.50319127267614,14.37065319637301,0.7883041057151879
Chrom_fr_allylic_oxid,44.2,6.838128398911503,10.783882077776136,1.0246988637420318
Chrom_MaxPartialCharge,157.0,13.36413109783049,9.803364773339004,2.00556882566089
Chrom_PEOE_VSA8,255.0,18.17690842800282,8.57467710583121,0.6792876741806693
Chrom_SlogP_VSA8,196.1,18.26718369097984,5.483380786661802,0.7662688618881643
Chrom_qed,192.9,16.238534416627626,4.7726877089387205,0.6842135306742088
Chrom_BCUT2D_LOGPHI,249.4,18.693314312876677,4.52285458189948,0.7926735511398122
Chrom_BCUT2D_MRLOW,169.3,18.761929538296428,4.483124082132449,1.051317988937565
Chrom_fr_bicyclic,88.3,5.745432968889291,4.234822525383709,0.9722220401349202
Chrom_fr_NH0,32.6,6.81469001496033,4.214080352014146,1.0216245658023764
Chrom_BCUT2D_CHGLO,236.0,16.91744661584602,3.7934169773939708,0.6248399569238483
Chrom_EState_VSA4,212.7,15.225307878660452,3.575942232599971,0.7790965473555203
Chrom_BCUT2D_MWLOW,233.3,19.16272423221709,3.487034862015002,0.5902442123500647
Chrom_BalabanJ,258.7,18.547506570965272,3.4648182706571453,0.4931936806089757
Chrom_SlogP_VSA10,45.5,6.119640512317697,3.452219567843337,1.0336597105096859
Chrom_MinEStateIndex,151.1,13.46439749858864,3.42082035555003,1.0718287684143863
Chrom_PEOE_VSA10,127.6,10.200000000000001,3.348456946523902,0.42245177399475137
Chrom_MaxEStateIndex,198.5,11.80889495253472,3.2145209456624215,0.8317809507694122
Chrom_SlogP_VSA1,102.2,11.061645447219867,3.1909406733121237,0.7588641649661794
Chrom_VSA_EState8,172.7,20.28324431643025,3.1513245225025983,0.62189957520913
Chrom_MinPartialCharge,162.9,14.577036735907608,2.92971287275815,0.7431819802890293
Chrom_SMR_VSA6,67.8,7.934733769950949,2.863771299575318,0.529262065093712
Chrom_VSA_EState3,188.8,23.21981912074252,2.820549478256271,0.498010241516215
Chrom_MinAbsEStateIndex,254.7,15.92513736204495,2.795085883999004,0.35961541579436573
Chrom_SMR_VSA3,67.9,7.327346040688948,2.6852388171951374,0.4881809648745156
Chrom_VSA_EState7,181.9,18.667886864881094,2.6080353686460924,0.49786192326049505
Chrom_BCUT2D_CHGHI,191.7,15.080119362922828,2.4577143005434037,0.4367648367642688
Chrom_NumAliphaticCarbocycles,20.1,4.060788100849391,2.2822243659874393,0.5485764400913571
Chrom_VSA_EState4,227.6,11.85073837362044,2.280185867699676,0.4799176270413807
Chrom_PEOE_VSA11,61.4,11.49086593777858,2.274587488402007,0.613821583986526
Chrom_VSA_EState5,173.9,15.604166110369372,2.2658001587027465,0.3554628898234911
Chrom_PEOE_VSA9,158.4,15.711142542794272,2.090208961070253,0.4067639991206915
