Metric,Mean,Standard deviation
Absorption max (nm) RMSE,40.821575118427546,0.10164762686326455
log(e/mol-1 dm3 cm-1) RMSE,0.34020025671896115,0.0010568200476737159
Absorption max (nm) MAE,29.20667768609158,0.09222615162549501
log(e/mol-1 dm3 cm-1) MAE,0.2357579377204612,0.0003820139978550334
