Task,Mean rmse,Standard deviation rmse,Fold 0 rmse,Fold 1 rmse,Fold 2 rmse,Fold 3 rmse,Fold 4 rmse,Fold 5 rmse,Fold 6 rmse,Fold 7 rmse,Fold 8 rmse,Fold 9 rmse,Mean mae,Standard deviation mae,Fold 0 mae,Fold 1 mae,Fold 2 mae,Fold 3 mae,Fold 4 mae,Fold 5 mae,Fold 6 mae,Fold 7 mae,Fold 8 mae,Fold 9 mae
Absorption max (nm),25.58071581231021,2.326830711157537,25.581343788060348,23.82630170218252,22.163538059508856,28.699424135127998,22.653372607335836,27.001098910249894,28.920799116951205,27.881761090447263,25.016741535922442,24.062777177315716,14.161815780867617,0.9103044763799991,13.474932878202171,13.639549083602159,12.936522515452397,14.617304071379236,12.990740398409448,14.930746925701055,15.056496556576882,15.541433488409568,14.977116228193044,13.453315662750203
log(e/mol-1 dm3 cm-1),0.23948187029143791,0.02788666518882231,0.21178142352242782,0.23835356878522876,0.22725492907070557,0.22838613162335386,0.22955606515331553,0.20282834452914175,0.23671805877633126,0.30783155373290905,0.26174849593745503,0.25036013178351024,0.13740239634599177,0.009505002675308079,0.12879980626084558,0.13156563506375424,0.13887057636940148,0.13995026394376653,0.12745602659581187,0.124200840328488,0.13423658845860856,0.15505868991276892,0.1491467931082659,0.14473874341820642
