Metric,Mean,Standard deviation
Absorption max (nm) RMSE,41.902114160962554,0.4288675695782349
log(e/mol-1 dm3 cm-1) RMSE,0.3558804500641697,0.006361330940328641
Absorption max (nm) MAE,29.992242000512146,0.336797352443992
log(e/mol-1 dm3 cm-1) MAE,0.2503214561534134,0.003693741948765179
